sensor_type,sample_type,timestamp,data,health_status
1,8,8370,1.008798,4
1,8,8381,1.003714,4
1,8,8398,1.006280,4
1,8,8498,1.004634,4
1,8,8598,1.000917,4
1,8,8698,1.009598,4
1,8,9163,1.008411,4
1,8,9173,0.999855,4
1,8,9182,0.999098,4
1,8,9190,1.001457,4
1,8,9198,1.007908,4
1,8,9298,0.998447,4
1,8,9398,1.000867,4
1,8,9498,1.081104,4
1,8,9598,1.027395,4
1,8,9698,1.010712,4
1,8,10205,0.999875,4
1,8,10216,0.992006,4
1,8,10224,1.004803,4
1,8,10232,1.000440,4
1,8,10240,1.010106,4
1,8,10298,1.006155,4
1,8,10398,1.003104,4
1,8,10498,1.008705,4
1,8,10598,1.007781,4
1,8,10697,1.006744,4
1,8,11171,1.000700,4
1,8,11181,1.008552,4
1,8,11189,0.999574,4
1,8,11197,1.003516,4
1,8,11205,1.002246,4
1,8,11298,1.009587,4
1,8,11398,1.009346,4
1,8,11498,1.002455,4
1,8,11598,1.013829,4
1,8,11698,1.005502,4
1,8,12156,1.000455,4
1,8,12167,0.996835,4
1,8,12175,1.002312,4
1,8,12183,1.003954,4
1,8,12198,1.017737,4
1,8,12298,1.001882,4
1,8,12398,1.005475,4
1,8,12498,1.016327,4
1,8,12598,1.004252,4
1,8,12698,0.996536,4
0,0,13199,86.511078,0
0,1,13208,65.000000,1
0,2,13214,34.625000,0
1,8,13220,0.998304,4
1,8,13229,1.004188,4
1,8,13238,0.998342,4
1,8,13248,1.006212,4
1,8,13257,1.009343,4
1,8,13299,0.999223,4
1,8,13399,1.006959,4
1,8,13499,1.007769,4
1,8,13599,1.003227,4
1,8,13699,0.997638,4
1,8,14164,0.963938,4
1,8,14174,0.991410,4
1,8,14182,0.981168,4
1,8,14190,0.992566,4
1,8,14198,1.010164,4
1,8,14298,1.004995,4
1,8,14398,1.003182,4
1,8,14498,1.007184,4
1,8,14598,1.005558,4
1,8,14698,1.979657,4
1,8,8242,1.026816,4
1,8,8298,1.023072,4
1,8,8398,1.053175,4
1,8,8498,0.979292,4
1,8,8598,0.931160,4
1,8,8698,0.967027,4
1,8,9163,1.081807,4
1,8,9172,1.054292,4
1,8,9180,1.022622,4
1,8,9189,0.975857,4
1,8,9198,0.952315,4
1,8,9298,1.013664,4
1,8,9398,1.161448,4
1,8,9498,0.962337,4
1,8,9598,1.152643,4
1,8,9697,0.963776,4
1,8,10206,0.890192,4
1,8,10216,0.905825,4
1,8,10224,0.933239,4
1,8,10232,0.956395,4
1,8,10241,0.974812,4
1,8,10298,0.979351,4
1,8,10398,1.110323,4
1,8,10498,1.493618,4
1,8,10598,1.231357,4
1,8,10698,1.029290,4
1,8,11171,1.121451,4
1,8,11181,1.064677,4
1,8,11191,1.080594,4
1,8,11199,1.162713,4
1,8,11207,1.088807,4
1,8,11297,0.934673,4
1,8,11398,1.097855,4
1,8,11498,0.809830,4
1,8,11598,1.162855,4
1,8,11698,0.830014,4
1,8,12155,0.909438,4
1,8,12165,1.057953,4
1,8,12173,1.133874,4
1,8,12181,1.108475,4
1,8,12198,1.000031,4
1,8,12297,1.067555,4
1,8,12398,1.036578,4
1,8,12498,1.023046,4
1,8,12598,1.024633,4
1,8,12697,1.034971,4
1,8,13197,0.994819,4
1,8,13207,1.040093,4
1,8,13216,1.021783,4
1,8,13224,0.994358,4
1,8,13232,0.995501,4
1,8,13298,0.995692,4
1,8,13398,0.971600,4
1,8,13498,1.021730,4
1,8,13598,1.036150,4
1,8,13698,1.105522,4
1,8,14162,0.994571,4
1,8,14172,1.042411,4
1,8,14180,1.063597,4
1,8,14188,1.056969,4
1,8,14197,0.969890,4
1,8,14298,0.905867,4
1,8,14398,0.967290,4
1,8,14498,0.950851,4
1,8,14598,1.051251,4
1,8,14698,1.114212,4
1,8,15205,1.051321,4
1,8,15215,1.041613,4
1,8,15223,1.061612,4
1,8,15232,1.070907,4
1,8,15240,1.060567,4
1,8,15297,1.630731,4
1,8,15398,0.723411,4
1,8,15498,0.760574,4
1,8,15598,0.877829,4
1,8,15698,1.005143,4
1,8,16171,1.134263,4
1,8,16183,0.925490,4
1,8,16192,0.971441,4
1,8,16200,1.107305,4
1,8,16208,1.179196,4
1,8,16298,1.031902,4
1,8,16398,0.364292,4
1,8,16498,1.140055,4
1,8,16598,0.974647,4
1,8,16697,1.014182,4
1,8,17155,1.134498,4
1,8,17165,1.126063,4
1,8,17173,0.968767,4
1,8,17181,0.978296,4
1,8,17197,1.029691,4
1,8,17297,1.450071,4
1,8,17398,1.076034,4
1,8,17498,2.186482,4
1,8,17598,1.120331,4
1,8,17698,0.333642,4
1,8,18197,1.041271,4
1,8,18207,0.959117,4
1,8,18215,0.956327,4
1,8,18223,1.023564,4
1,8,18231,0.986052,4
1,8,18297,1.021747,4
1,8,18398,1.269166,4
1,8,18498,1.100816,4
1,8,18598,0.925990,4
1,8,18698,0.384879,4
1,8,19162,1.003702,4
1,8,19172,1.009154,4
1,8,19180,1.011863,4
1,8,19189,1.007875,4
1,8,19198,1.005991,4
1,8,19298,0.987822,4
1,8,19398,0.996049,4
1,8,19497,0.993396,4
1,8,19598,1.003919,4
1,8,19698,1.020307,4
1,8,20205,1.001075,4
1,8,20216,0.999840,4
1,8,20224,1.005905,4
1,8,20232,1.006889,4
1,8,20239,1.003239,4
1,8,20298,0.995166,4
1,8,20398,1.001491,4
1,8,20498,1.001749,4
1,8,20598,1.037786,4
1,8,20696,1.003377,4
1,8,21169,1.008168,4
1,8,21177,1.008604,4
1,8,21183,1.010315,4
1,8,21190,1.005807,4
1,8,21196,1.005641,4
1,8,21296,0.984976,4
1,8,21396,0.994031,4
1,8,21496,0.993995,4
1,8,21596,1.004395,4
1,8,21696,1.002667,4
1,8,22153,0.995520,4
1,8,22161,0.997205,4
1,8,22167,1.005902,4
1,8,22174,1.012804,4
1,8,22196,1.000383,4

